unit,pass_name,response_field,response_value,group_dimension,group_value,count,denominator,percentage
review_case,pass_a,defect_visible,no,selection_event,severe_stable_correct,0,8,0.000000
review_case,pass_a,defect_visible,uncertain,selection_event,severe_stable_correct,0,8,0.000000
review_case,pass_a,defect_visible,yes,selection_event,severe_stable_wrong,6,8,75.000000
review_case,pass_a,defect_visible,partially,selection_event,severe_stable_wrong,2,8,25.000000
review_case,pass_a,defect_visible,no,selection_event,severe_stable_wrong,0,8,0.000000
review_case,pass_a,defect_visible,uncertain,selection_event,severe_stable_wrong,0,8,0.000000
review_case,pass_a,defect_visible,yes,analysis_group,beneficial_flip,6,6,100.000000
review_case,pass_a,defect_visible,partially,analysis_group,beneficial_flip,0,6,0.000000
review_case,pass_a,defect_visible,no,analysis_group,beneficial_flip,0,6,0.000000
review_case,pass_a,defect_visible,uncertain,analysis_group,beneficial_flip,0,6,0.000000
review_case,pass_a,defect_visible,yes,analysis_group,clean_consensus_error,8,10,80.000000
review_case,pass_a,defect_visible,partially,analysis_group,clean_consensus_error,2,10,20.000000
review_case,pass_a,defect_visible,no,analysis_group,clean_consensus_error,0,10,0.000000
review_case,pass_a,defect_visible,uncertain,analysis_group,clean_consensus_error,0,10,0.000000
review_case,pass_a,defect_visible,yes,analysis_group,harmful_flip,19,20,95.000000
review_case,pass_a,defect_visible,partially,analysis_group,harmful_flip,1,20,5.000000
review_case,pass_a,defect_visible,no,analysis_group,harmful_flip,0,20,0.000000
review_case,pass_a,defect_visible,uncertain,analysis_group,harmful_flip,0,20,0.000000
review_case,pass_a,defect_visible,yes,analysis_group,seed_disagreement,6,8,75.000000
review_case,pass_a,defect_visible,partially,analysis_group,seed_disagreement,2,8,25.000000
review_case,pass_a,defect_visible,no,analysis_group,seed_disagreement,0,8,0.000000
review_case,pass_a,defect_visible,uncertain,analysis_group,seed_disagreement,0,8,0.000000
review_case,pass_a,defect_visible,yes,analysis_group,stable_correct,5,8,62.500000
review_case,pass_a,defect_visible,partially,analysis_group,stable_correct,3,8,37.500000
review_case,pass_a,defect_visible,no,analysis_group,stable_correct,0,8,0.000000
review_case,pass_a,defect_visible,uncertain,analysis_group,stable_correct,0,8,0.000000
review_case,pass_a,defect_visible,yes,analysis_group,stable_wrong,6,8,75.000000
review_case,pass_a,defect_visible,partially,analysis_group,stable_wrong,2,8,25.000000
review_case,pass_a,defect_visible,no,analysis_group,stable_wrong,0,8,0.000000
review_case,pass_a,defect_visible,uncertain,analysis_group,stable_wrong,0,8,0.000000
review_case,pass_a,defect_visible,yes,eligibility_rule,consensus,42,49,85.714286
review_case,pass_a,defect_visible,partially,eligibility_rule,consensus,7,49,14.285714
review_case,pass_a,defect_visible,no,eligibility_rule,consensus,0,49,0.000000
review_case,pass_a,defect_visible,uncertain,eligibility_rule,consensus,0,49,0.000000
review_case,pass_a,defect_visible,yes,eligibility_rule,majority,2,3,66.666667
review_case,pass_a,defect_visible,partially,eligibility_rule,majority,1,3,33.333333
review_case,pass_a,defect_visible,no,eligibility_rule,majority,0,3,0.000000
review_case,pass_a,defect_visible,uncertain,eligibility_rule,majority,0,3,0.000000
review_case,pass_a,defect_visible,yes,eligibility_rule,seed_disagreement,6,8,75.000000
review_case,pass_a,defect_visible,partially,eligibility_rule,seed_disagreement,2,8,25.000000
review_case,pass_a,defect_visible,no,eligibility_rule,seed_disagreement,0,8,0.000000
review_case,pass_a,defect_visible,uncertain,eligibility_rule,seed_disagreement,0,8,0.000000
review_case,pass_a,defect_visible,yes,true_label,corrosion,13,15,86.666667
review_case,pass_a,defect_visible,partially,true_label,corrosion,2,15,13.333333
review_case,pass_a,defect_visible,no,true_label,corrosion,0,15,0.000000
review_case,pass_a,defect_visible,uncertain,true_label,corrosion,0,15,0.000000
review_case,pass_a,defect_visible,yes,true_label,crack,6,7,85.714286
review_case,pass_a,defect_visible,partially,true_label,crack,1,7,14.285714
review_case,pass_a,defect_visible,no,true_label,crack,0,7,0.000000
review_case,pass_a,defect_visible,uncertain,true_label,crack,0,7,0.000000
review_case,pass_a,defect_visible,yes,true_label,craze,6,12,50.000000
review_case,pass_a,defect_visible,partially,true_label,craze,6,12,50.000000
review_case,pass_a,defect_visible,no,true_label,craze,0,12,0.000000
review_case,pass_a,defect_visible,uncertain,true_label,craze,0,12,0.000000
review_case,pass_a,defect_visible,yes,true_label,hide_craze,9,9,100.000000
review_case,pass_a,defect_visible,partially,true_label,hide_craze,0,9,0.000000
review_case,pass_a,defect_visible,no,true_label,hide_craze,0,9,0.000000
review_case,pass_a,defect_visible,uncertain,true_label,hide_craze,0,9,0.000000
review_case,pass_a,defect_visible,yes,true_label,surface_injure,11,12,91.666667
review_case,pass_a,defect_visible,partially,true_label,surface_injure,1,12,8.333333
review_case,pass_a,defect_visible,no,true_label,surface_injure,0,12,0.000000
review_case,pass_a,defect_visible,uncertain,true_label,surface_injure,0,12,0.000000
review_case,pass_a,defect_visible,yes,true_label,thunderstrike,5,5,100.000000
review_case,pass_a,defect_visible,partially,true_label,thunderstrike,0,5,0.000000
review_case,pass_a,defect_visible,no,true_label,thunderstrike,0,5,0.000000
review_case,pass_a,defect_visible,uncertain,true_label,thunderstrike,0,5,0.000000
review_case,pass_a,defect_visible,yes,selected_correctness,all_correct,11,14,78.571429
review_case,pass_a,defect_visible,partially,selected_correctness,all_correct,3,14,21.428571
review_case,pass_a,defect_visible,no,selected_correctness,all_correct,0,14,0.000000
review_case,pass_a,defect_visible,uncertain,selected_correctness,all_correct,0,14,0.000000
review_case,pass_a,defect_visible,yes,selected_correctness,all_incorrect,34,39,87.179487
review_case,pass_a,defect_visible,partially,selected_correctness,all_incorrect,5,39,12.820513
review_case,pass_a,defect_visible,no,selected_correctness,all_incorrect,0,39,0.000000
review_case,pass_a,defect_visible,uncertain,selected_correctness,all_incorrect,0,39,0.000000
review_case,pass_a,defect_visible,yes,selected_correctness,mixed,5,7,71.428571
review_case,pass_a,defect_visible,partially,selected_correctness,mixed,2,7,28.571429
review_case,pass_a,defect_visible,no,selected_correctness,mixed,0,7,0.000000
review_case,pass_a,defect_visible,uncertain,selected_correctness,mixed,0,7,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,method,mobilenet_v3_small,4,9,44.444444
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,method,mobilenet_v3_small,4,9,44.444444
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,method,mobilenet_v3_small,1,9,11.111111
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,method,mobilenet_v3_small,0,9,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,method,resnet18,31,51,60.784314
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,method,resnet18,12,51,23.529412
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,method,resnet18,8,51,15.686275
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,method,resnet18,0,51,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,corruption_family,brightness,24,34,70.588235
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,corruption_family,brightness,6,34,17.647059
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,corruption_family,brightness,4,34,11.764706
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,corruption_family,brightness,0,34,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,corruption_family,clean,3,10,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,corruption_family,clean,4,10,40.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,corruption_family,clean,3,10,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,corruption_family,clean,0,10,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,corruption_family,gaussian_blur,7,13,53.846154
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,corruption_family,gaussian_blur,4,13,30.769231
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,corruption_family,gaussian_blur,2,13,15.384615
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,corruption_family,gaussian_blur,0,13,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,corruption_family,jpeg,1,3,33.333333
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,corruption_family,jpeg,2,3,66.666667
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,corruption_family,jpeg,0,3,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,corruption_family,jpeg,0,3,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,severity,clean,3,10,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,severity,clean,4,10,40.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,severity,clean,3,10,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,severity,clean,0,10,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,severity,mild,3,4,75.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,severity,mild,0,4,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,severity,mild,1,4,25.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,severity,mild,0,4,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,severity,moderate,1,3,33.333333
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,severity,moderate,1,3,33.333333
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,severity,moderate,1,3,33.333333
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,severity,moderate,0,3,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,severity,severe,28,43,65.116279
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,severity,severe,11,43,25.581395
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,severity,severe,4,43,9.302326
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,severity,severe,0,43,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,condition_group,clean,3,10,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,condition_group,clean,4,10,40.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,condition_group,clean,3,10,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,condition_group,clean,0,10,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,condition_group,degraded,32,50,64.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,condition_group,degraded,12,50,24.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,condition_group,degraded,6,50,12.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,condition_group,degraded,0,50,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,selection_event,beneficial_flip,3,6,50.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,selection_event,beneficial_flip,3,6,50.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,selection_event,beneficial_flip,0,6,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,selection_event,beneficial_flip,0,6,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,selection_event,clean_consensus_error,3,10,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,selection_event,clean_consensus_error,4,10,40.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,selection_event,clean_consensus_error,3,10,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,selection_event,clean_consensus_error,0,10,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,selection_event,seed_disagreement,6,8,75.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,selection_event,seed_disagreement,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,selection_event,seed_disagreement,2,8,25.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,selection_event,seed_disagreement,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,selection_event,severe_harmful_flip,10,20,50.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,selection_event,severe_harmful_flip,6,20,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,selection_event,severe_harmful_flip,4,20,20.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,selection_event,severe_harmful_flip,0,20,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,selection_event,severe_stable_correct,8,8,100.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,selection_event,severe_stable_correct,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,selection_event,severe_stable_correct,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,selection_event,severe_stable_correct,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,selection_event,severe_stable_wrong,5,8,62.500000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,selection_event,severe_stable_wrong,3,8,37.500000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,selection_event,severe_stable_wrong,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,selection_event,severe_stable_wrong,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,analysis_group,beneficial_flip,3,6,50.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,analysis_group,beneficial_flip,3,6,50.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,analysis_group,beneficial_flip,0,6,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,analysis_group,beneficial_flip,0,6,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,analysis_group,clean_consensus_error,3,10,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,analysis_group,clean_consensus_error,4,10,40.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,analysis_group,clean_consensus_error,3,10,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,analysis_group,clean_consensus_error,0,10,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,analysis_group,harmful_flip,10,20,50.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,analysis_group,harmful_flip,6,20,30.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,analysis_group,harmful_flip,4,20,20.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,analysis_group,harmful_flip,0,20,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,analysis_group,seed_disagreement,6,8,75.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,analysis_group,seed_disagreement,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,analysis_group,seed_disagreement,2,8,25.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,analysis_group,seed_disagreement,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,analysis_group,stable_correct,8,8,100.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,analysis_group,stable_correct,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,analysis_group,stable_correct,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,analysis_group,stable_correct,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,analysis_group,stable_wrong,5,8,62.500000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,analysis_group,stable_wrong,3,8,37.500000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,analysis_group,stable_wrong,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,analysis_group,stable_wrong,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,eligibility_rule,consensus,27,49,55.102041
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,eligibility_rule,consensus,15,49,30.612245
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,eligibility_rule,consensus,7,49,14.285714
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,eligibility_rule,consensus,0,49,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,eligibility_rule,majority,2,3,66.666667
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,eligibility_rule,majority,1,3,33.333333
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,eligibility_rule,majority,0,3,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,eligibility_rule,majority,0,3,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,eligibility_rule,seed_disagreement,6,8,75.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,eligibility_rule,seed_disagreement,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,eligibility_rule,seed_disagreement,2,8,25.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,eligibility_rule,seed_disagreement,0,8,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,true_label,corrosion,10,15,66.666667
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,true_label,corrosion,1,15,6.666667
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,true_label,corrosion,4,15,26.666667
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,true_label,corrosion,0,15,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,true_label,crack,4,7,57.142857
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,true_label,crack,2,7,28.571429
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,true_label,crack,1,7,14.285714
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,true_label,crack,0,7,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,true_label,craze,5,12,41.666667
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,true_label,craze,4,12,33.333333
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,true_label,craze,3,12,25.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,true_label,craze,0,12,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,true_label,hide_craze,7,9,77.777778
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,true_label,hide_craze,2,9,22.222222
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,true_label,hide_craze,0,9,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,true_label,hide_craze,0,9,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,true_label,surface_injure,4,12,33.333333
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,true_label,surface_injure,7,12,58.333333
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,true_label,surface_injure,1,12,8.333333
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,true_label,surface_injure,0,12,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,true_label,thunderstrike,5,5,100.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,true_label,thunderstrike,0,5,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,true_label,thunderstrike,0,5,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,true_label,thunderstrike,0,5,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,selected_correctness,all_correct,11,14,78.571429
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,selected_correctness,all_correct,3,14,21.428571
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,selected_correctness,all_correct,0,14,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,selected_correctness,all_correct,0,14,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,selected_correctness,all_incorrect,19,39,48.717949
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,selected_correctness,all_incorrect,12,39,30.769231
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,selected_correctness,all_incorrect,8,39,20.512821
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,selected_correctness,all_incorrect,0,39,0.000000
review_case,pass_a,corruption_obscures_diagnostic_detail,none,selected_correctness,mixed,5,7,71.428571
review_case,pass_a,corruption_obscures_diagnostic_detail,mild,selected_correctness,mixed,1,7,14.285714
review_case,pass_a,corruption_obscures_diagnostic_detail,strong,selected_correctness,mixed,1,7,14.285714
review_case,pass_a,corruption_obscures_diagnostic_detail,uncertain,selected_correctness,mixed,0,7,0.000000
review_case,pass_a,dataset_label_visually_plausible,yes,method,mobilenet_v3_small,8,9,88.888889
review_case,pass_a,dataset_label_visually_plausible,no,method,mobilenet_v3_small,0,9,0.000000
review_case,pass_a,dataset_label_visually_plausible,uncertain,method,mobilenet_v3_small,1,9,11.111111
review_case,pass_a,dataset_label_visually_plausible,yes,method,resnet18,43,51,84.313725
review_case,pass_a,dataset_label_visually_plausible,no,method,resnet18,1,51,1.960784
review_case,pass_a,dataset_label_visually_plausible,uncertain,method,resnet18,7,51,13.725490
review_case,pass_a,dataset_label_visually_plausible,yes,corruption_family,brightness,27,34,79.411765
review_case,pass_a,dataset_label_visually_plausible,no,corruption_family,brightness,0,34,0.000000
review_case,pass_a,dataset_label_visually_plausible,uncertain,corruption_family,brightness,7,34,20.588235
review_case,pass_a,dataset_label_visually_plausible,yes,corruption_family,clean,10,10,100.000000
review_case,pass_a,dataset_label_visually_plausible,no,corruption_family,clean,0,10,0.000000
review_case,pass_a,dataset_label_visually_plausible,uncertain,corruption_family,clean,0,10,0.000000
review_case,pass_a,dataset_label_visually_plausible,yes,corruption_family,gaussian_blur,12,13,92.307692
review_case,pass_a,dataset_label_visually_plausible,no,corruption_family,gaussian_blur,1,13,7.692308
review_case,pass_a,dataset_label_visually_plausible,uncertain,corruption_family,gaussian_blur,0,13,0.000000
review_case,pass_a,dataset_label_visually_plausible,yes,corruption_family,jpeg,2,3,66.666667
review_case,pass_a,dataset_label_visually_plausible,no,corruption_family,jpeg,0,3,0.000000
review_case,pass_a,dataset_label_visually_plausible,uncertain,corruption_family,jpeg,1,3,33.333333
review_case,pass_a,dataset_label_visually_plausible,yes,severity,clean,10,10,100.000000
review_case,pass_a,dataset_label_visually_plausible,no,severity,clean,0,10,0.000000
review_case,pass_a,dataset_label_visually_plausible,uncertain,severity,clean,0,10,0.000000
review_case,pass_a,dataset_label_visually_plausible,yes,severity,mild,3,4,75.000000
review_case,pass_a,dataset_label_visually_plausible,no,severity,mild,0,4,0.000000
review_case,pass_a,dataset_label_visually_plausible,uncertain,severity,mild,1,4,25.000000
review_case,pass_a,dataset_label_visually_plausible,yes,severity,moderate,2,3,66.666667
review_case,pass_a,dataset_label_visually_plausible,no,severity,moderate,0,3,0.000000
review_case,pass_a,dataset_label_visually_plausible,uncertain,severity,moderate,1,3,33.333333
review_case,pass_a,dataset_label_visually_plausible,yes,severity,severe,36,43,83.720930
review_case,pass_a,dataset_label_visually_plausible,no,severity,severe,1,43,2.325581
