pair_id,image_a,image_b,decision,canonical_sample_id,notes,reviewer
pair-0150,143.jpg,352.jpg,same_scene,143,"Human-reviewed same source scene (scene-021). dHash=2, corr=0.9959, class_jaccard=1.00, bbox_mean_iou=0.8372. Use canonical sample 143; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0165,445.jpg,466.jpg,same_scene,109,"Human-reviewed same source scene (scene-018). dHash=2, corr=0.9917, class_jaccard=1.00, bbox_mean_iou=0.8523. Use canonical sample 109; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0171,613.jpg,983.jpg,pending_review,,,
pair-0143,33.jpg,348.jpg,same_scene,33,"Human-reviewed same source scene (scene-004). dHash=2, corr=0.9894, class_jaccard=1.00, bbox_mean_iou=0.7519. Use canonical sample 33; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0157,233.jpg,348.jpg,same_scene,33,"Human-reviewed same source scene (scene-004). dHash=2, corr=0.9894, class_jaccard=1.00, bbox_mean_iou=0.9523. Use canonical sample 33; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0175,821.jpg,831.jpg,pending_review,,,
pair-0152,143.jpg,872.jpg,pending_review,,,
pair-0156,187.jpg,821.jpg,pending_review,,,
pair-0163,400.jpg,956.jpg,same_scene,400,"Human-reviewed same source scene (scene-042). dHash=2, corr=0.9771, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 400; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0142,13.jpg,761.jpg,pending_review,,,
pair-0158,234.jpg,256.jpg,same_scene,234,"Human-reviewed same source scene (scene-029). dHash=2, corr=0.9653, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 234; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0148,96.jpg,804.jpg,pending_review,,,
pair-0170,551.jpg,956.jpg,same_scene,400,"Human-reviewed same source scene (scene-042). dHash=2, corr=0.9244, class_jaccard=1.00, bbox_mean_iou=0.7145. Use canonical sample 400; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0161,384.jpg,887.jpg,pending_review,,,
pair-0168,540.jpg,951.jpg,pending_review,,,
pair-0155,174.jpg,567.jpg,same_scene,143,"Human-reviewed same source scene (scene-021). dHash=2, corr=0.8785, class_jaccard=1.00, bbox_mean_iou=0.7008. Use canonical sample 143; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0172,631.jpg,846.jpg,pending_review,,,
pair-0154,151.jpg,846.jpg,pending_review,,,
pair-0174,766.jpg,846.jpg,pending_review,,,
pair-0153,144.jpg,846.jpg,pending_review,,,
pair-0176,846.jpg,937.jpg,pending_review,,,
pair-0144,67.jpg,973.jpg,pending_review,,,
pair-0235,88.jpg,832.jpg,pending_review,,,
pair-0254,311.jpg,851.jpg,same_scene,311,"Human-reviewed same source scene (scene-037). dHash=3, corr=0.9996, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 311; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0255,328.jpg,851.jpg,same_scene,311,"Human-reviewed same source scene (scene-037). dHash=3, corr=0.9996, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 311; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0238,101.jpg,745.jpg,pending_review,,,
pair-0237,96.jpg,210.jpg,same_scene,96,"Human-reviewed same source scene (scene-014). dHash=3, corr=0.9986, class_jaccard=1.00, bbox_mean_iou=0.8803. Use canonical sample 96; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0250,245.jpg,796.jpg,pending_review,,,
pair-0270,851.jpg,860.jpg,same_scene,311,"Human-reviewed same source scene (scene-037). dHash=3, corr=0.9979, class_jaccard=1.00, bbox_mean_iou=0.6689. Use canonical sample 311; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0265,687.jpg,1020.jpg,pending_review,,,
pair-0230,8.jpg,1055.jpg,pending_review,,,
pair-0234,80.jpg,139.jpg,same_scene,47,"Human-reviewed same source scene (scene-005). dHash=3, corr=0.9940, class_jaccard=1.00, bbox_mean_iou=0.8115. Use canonical sample 47; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0245,182.jpg,789.jpg,pending_review,,,
pair-0260,445.jpg,924.jpg,pending_review,,,
pair-0236,93.jpg,197.jpg,same_scene,93,"Human-reviewed same source scene (scene-013). dHash=3, corr=0.9867, class_jaccard=1.00, bbox_mean_iou=0.8592. Use canonical sample 93; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0241,141.jpg,197.jpg,same_scene,93,"Human-reviewed same source scene (scene-013). dHash=3, corr=0.9867, class_jaccard=1.00, bbox_mean_iou=0.7816. Use canonical sample 93; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0256,340.jpg,866.jpg,pending_review,,,
pair-0246,196.jpg,245.jpg,same_scene,31,"Human-reviewed same source scene (scene-003). dHash=3, corr=0.9824, class_jaccard=1.00, bbox_mean_iou=0.8754. Use canonical sample 31; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0232,31.jpg,245.jpg,same_scene,31,"Human-reviewed same source scene (scene-003). dHash=3, corr=0.9803, class_jaccard=1.00, bbox_mean_iou=0.5263. Use canonical sample 31; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0231,13.jpg,472.jpg,same_scene,13,"Human-reviewed same source scene (scene-002). dHash=3, corr=0.9632, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 13; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0249,245.jpg,249.jpg,same_scene,31,"Human-reviewed same source scene (scene-003). dHash=3, corr=0.9605, class_jaccard=1.00, bbox_mean_iou=0.8322. Use canonical sample 31; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0247,234.jpg,827.jpg,same_scene,234,"Human-reviewed same source scene (scene-029). dHash=3, corr=0.9595, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 234; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0239,109.jpg,445.jpg,same_scene,109,"Human-reviewed same source scene (scene-018). dHash=3, corr=0.9537, class_jaccard=1.00, bbox_mean_iou=0.8998. Use canonical sample 109; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0248,238.jpg,831.jpg,pending_review,,,
pair-0251,263.jpg,831.jpg,pending_review,,,
pair-0243,152.jpg,773.jpg,pending_review,,,
pair-0252,269.jpg,349.jpg,same_scene,269,"Human-reviewed same source scene (scene-035). dHash=3, corr=0.9434, class_jaccard=1.00, bbox_mean_iou=0.8226. Use canonical sample 269; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0259,400.jpg,543.jpg,same_scene,400,"Human-reviewed same source scene (scene-042). dHash=3, corr=0.9423, class_jaccard=1.00, bbox_mean_iou=0.6695. Use canonical sample 400; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0240,123.jpg,758.jpg,pending_review,,,
pair-0266,723.jpg,1044.jpg,pending_review,,,
pair-0261,567.jpg,872.jpg,pending_review,,,
pair-0257,352.jpg,567.jpg,same_scene,143,"Human-reviewed same source scene (scene-021). dHash=3, corr=0.8936, class_jaccard=1.00, bbox_mean_iou=0.8913. Use canonical sample 143; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0258,366.jpg,567.jpg,same_scene,143,"Human-reviewed same source scene (scene-021). dHash=3, corr=0.8832, class_jaccard=1.00, bbox_mean_iou=0.6873. Use canonical sample 143; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0244,177.jpg,786.jpg,pending_review,,,
pair-0253,284.jpg,838.jpg,pending_review,,,
pair-0263,617.jpg,846.jpg,pending_review,,,
pair-0268,833.jpg,846.jpg,pending_review,,,
pair-0233,67.jpg,589.jpg,unrelated_false_positive,,"Reviewed as dHash false positive rather than same source scene. corr=0.2080, class_jaccard=1.00, bbox_mean_iou=0.0000. Retain as distinct samples.",OpenAI-human-review-2026-08-28
pair-0267,766.jpg,863.jpg,pending_review,,,
pair-0269,846.jpg,984.jpg,pending_review,,,
pair-0242,144.jpg,863.jpg,unrelated_false_positive,,"Reviewed as dHash false positive rather than same source scene. corr=0.0725, class_jaccard=0.00, bbox_mean_iou=NA. Retain as distinct samples.",OpenAI-human-review-2026-08-28
pair-0264,631.jpg,863.jpg,unrelated_false_positive,,"Reviewed as dHash false positive rather than same source scene. corr=0.0173, class_jaccard=0.00, bbox_mean_iou=NA. Retain as distinct samples.",OpenAI-human-review-2026-08-28
pair-0262,578.jpg,1045.jpg,pending_review,,,
pair-0378,691.jpg,1024.jpg,pending_review,,,
pair-0370,318.jpg,855.jpg,pending_review,,,
pair-0359,45.jpg,914.jpg,pending_review,,,
pair-0373,479.jpg,927.jpg,pending_review,,,
pair-0371,330.jpg,861.jpg,pending_review,,,
pair-0377,674.jpg,1013.jpg,pending_review,,,
pair-0368,269.jpg,359.jpg,same_scene,269,"Human-reviewed same source scene (scene-035). dHash=4, corr=0.9902, class_jaccard=1.00, bbox_mean_iou=0.8576. Use canonical sample 269; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0366,196.jpg,796.jpg,pending_review,,,
pair-0379,708.jpg,1033.jpg,pending_review,,,
pair-0362,76.jpg,235.jpg,same_scene,76,"Human-reviewed same source scene (scene-009). dHash=4, corr=0.9774, class_jaccard=1.00, bbox_mean_iou=0.8864. Use canonical sample 76; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0364,96.jpg,202.jpg,same_scene,96,"Human-reviewed same source scene (scene-014). dHash=4, corr=0.9742, class_jaccard=1.00, bbox_mean_iou=0.9176. Use canonical sample 96; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0360,48.jpg,105.jpg,same_scene,48,"Human-reviewed same source scene (scene-006). dHash=4, corr=0.9458, class_jaccard=1.00, bbox_mean_iou=0.6428. Use canonical sample 48; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0372,400.jpg,551.jpg,same_scene,400,"Human-reviewed same source scene (scene-042). dHash=4, corr=0.9298, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 400; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0361,70.jpg,582.jpg,same_scene,70,"Human-reviewed same source scene (scene-008). dHash=4, corr=0.9077, class_jaccard=1.00, bbox_mean_iou=0.6093. Use canonical sample 70; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0363,81.jpg,785.jpg,pending_review,,,
pair-0367,221.jpg,811.jpg,pending_review,,,
pair-0375,579.jpg,962.jpg,pending_review,,,
pair-0383,833.jpg,865.jpg,pending_review,,,
pair-0389,999.jpg,1007.jpg,pending_review,,,
pair-0388,954.jpg,1007.jpg,pending_review,,,
pair-0374,495.jpg,661.jpg,unrelated_false_positive,,"Reviewed as dHash false positive rather than same source scene. corr=0.3704, class_jaccard=0.00, bbox_mean_iou=NA. Retain as distinct samples.",OpenAI-human-review-2026-08-28
pair-0365,113.jpg,661.jpg,unrelated_false_positive,,"Reviewed as dHash false positive rather than same source scene. corr=0.1318, class_jaccard=0.00, bbox_mean_iou=NA. Retain as distinct samples.",OpenAI-human-review-2026-08-28
pair-0369,301.jpg,863.jpg,unrelated_false_positive,,"Reviewed as dHash false positive rather than same source scene. corr=0.0833, class_jaccard=0.00, bbox_mean_iou=NA. Retain as distinct samples.",OpenAI-human-review-2026-08-28
pair-0385,846.jpg,963.jpg,pending_review,,,
pair-0376,617.jpg,863.jpg,unrelated_false_positive,,"Reviewed as dHash false positive rather than same source scene. corr=0.0469, class_jaccard=0.00, bbox_mean_iou=NA. Retain as distinct samples.",OpenAI-human-review-2026-08-28
pair-0380,750.jpg,764.jpg,pending_review,,,
pair-0381,750.jpg,863.jpg,pending_review,,,
pair-0387,863.jpg,984.jpg,unrelated_false_positive,,"Reviewed as dHash false positive rather than same source scene. corr=-0.0143, class_jaccard=0.00, bbox_mean_iou=NA. Retain as distinct samples.",OpenAI-human-review-2026-08-28
pair-0386,846.jpg,1008.jpg,pending_review,,,
pair-0382,833.jpg,863.jpg,pending_review,,,
pair-0384,837.jpg,846.jpg,pending_review,,,
pair-0035,6.jpg,98.jpg,same_scene,6,"Human-reviewed same source scene (scene-001). dHash=0, corr=1.0000, class_jaccard=1.00, bbox_mean_iou=0.9377. Use canonical sample 6; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0041,93.jpg,141.jpg,same_scene,93,"Human-reviewed same source scene (scene-013). dHash=0, corr=1.0000, class_jaccard=1.00, bbox_mean_iou=0.8776. Use canonical sample 93; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0045,135.jpg,319.jpg,same_scene,81,"Human-reviewed same source scene (scene-010). dHash=0, corr=1.0000, class_jaccard=1.00, bbox_mean_iou=0.8245. Use canonical sample 81; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0074,712.jpg,1037.jpg,pending_review,,,
pair-0056,311.jpg,328.jpg,same_scene,311,"Human-reviewed same source scene (scene-037). dHash=0, corr=0.9999, class_jaccard=1.00, bbox_mean_iou=0.8038. Use canonical sample 311; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0059,320.jpg,361.jpg,same_scene,276,"Human-reviewed same source scene (scene-036). dHash=0, corr=0.9999, class_jaccard=1.00, bbox_mean_iou=0.7798. Use canonical sample 276; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0061,341.jpg,361.jpg,same_scene,276,"Human-reviewed same source scene (scene-036). dHash=0, corr=0.9999, class_jaccard=1.00, bbox_mean_iou=0.9052. Use canonical sample 276; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0058,320.jpg,341.jpg,same_scene,276,"Human-reviewed same source scene (scene-036). dHash=0, corr=0.9999, class_jaccard=1.00, bbox_mean_iou=0.7115. Use canonical sample 276; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0072,632.jpg,994.jpg,pending_review,,,
pair-0066,456.jpg,917.jpg,pending_review,,,
pair-0064,402.jpg,568.jpg,same_scene,92,"Human-reviewed same source scene (scene-012). dHash=0, corr=0.9998, class_jaccard=1.00, bbox_mean_iou=0.8141. Use canonical sample 92; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0067,460.jpg,568.jpg,same_scene,92,"Human-reviewed same source scene (scene-012). dHash=0, corr=0.9998, class_jaccard=1.00, bbox_mean_iou=0.8820. Use canonical sample 92; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0062,370.jpg,881.jpg,pending_review,,,
pair-0063,402.jpg,460.jpg,same_scene,92,"Human-reviewed same source scene (scene-012). dHash=0, corr=0.9997, class_jaccard=1.00, bbox_mean_iou=0.7806. Use canonical sample 92; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0038,92.jpg,460.jpg,same_scene,92,"Human-reviewed same source scene (scene-012). dHash=0, corr=0.9994, class_jaccard=1.00, bbox_mean_iou=0.7937. Use canonical sample 92; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0039,92.jpg,568.jpg,same_scene,92,"Human-reviewed same source scene (scene-012). dHash=0, corr=0.9994, class_jaccard=1.00, bbox_mean_iou=0.7471. Use canonical sample 92; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0052,286.jpg,840.jpg,pending_review,,,
pair-0037,92.jpg,402.jpg,same_scene,92,"Human-reviewed same source scene (scene-012). dHash=0, corr=0.9990, class_jaccard=1.00, bbox_mean_iou=0.8728. Use canonical sample 92; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0043,119.jpg,754.jpg,pending_review,,,
pair-0060,328.jpg,860.jpg,same_scene,311,"Human-reviewed same source scene (scene-037). dHash=0, corr=0.9981, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 311; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0057,311.jpg,860.jpg,same_scene,311,"Human-reviewed same source scene (scene-037). dHash=0, corr=0.9980, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 311; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0073,651.jpg,1003.jpg,pending_review,,,
pair-0069,568.jpg,921.jpg,pending_review,,,
pair-0068,460.jpg,921.jpg,pending_review,,,
pair-0065,402.jpg,921.jpg,pending_review,,,
pair-0040,92.jpg,921.jpg,pending_review,,,
pair-0055,307.jpg,777.jpg,pending_review,,,
pair-0050,160.jpg,307.jpg,same_scene,160,"Human-reviewed same source scene (scene-022). dHash=0, corr=0.9911, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 160; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0051,160.jpg,777.jpg,pending_review,,,
pair-0044,127.jpg,760.jpg,same_scene,127,"Human-reviewed same source scene (scene-020). dHash=0, corr=0.9843, class_jaccard=1.00, bbox_mean_iou=0.6979. Use canonical sample 127; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0054,298.jpg,777.jpg,pending_review,,,
pair-0036,31.jpg,249.jpg,same_scene,31,"Human-reviewed same source scene (scene-003). dHash=0, corr=0.9776, class_jaccard=1.00, bbox_mean_iou=0.5084. Use canonical sample 31; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0042,116.jpg,753.jpg,pending_review,,,
pair-0053,298.jpg,307.jpg,same_scene,160,"Human-reviewed same source scene (scene-022). dHash=0, corr=0.9622, class_jaccard=1.00, bbox_mean_iou=0.9195. Use canonical sample 160; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
